domain,key,context,locale,source_text,expected_text,human_reviewed,text
import_export,action.export_csv,,pt_BR,"Export CSV","Exportar CSV",0,"Exportar CSV"
import_export,action.preview_import,,pt_BR,"Preview import","Visualizar importação",0,"Visualizar importação"
import_export,action.run_import,,pt_BR,"Run import","Executar importação",0,"Executar importação"
import_export,dataset.i18n_translations.description,,pt_BR,"Export and import translation rows as CSV.","Exportar e importar linhas de tradução como CSV.",0,"Exportar e importar linhas de tradução como CSV."
import_export,dataset.i18n_translations.name,,pt_BR,"I18n translations","Traduções i18n",0,"Traduções i18n"
import_export,error.dataset_not_found,,pt_BR,"Import/export dataset not found.","Conjunto de dados de importação/exportação não encontrado.",0,"Conjunto de dados de importação/exportação não encontrado."
import_export,error.file_read,,pt_BR,"Unable to read the uploaded CSV file.","Não foi possível ler o arquivo CSV enviado.",0,"Não foi possível ler o arquivo CSV enviado."
import_export,error.file_required,,pt_BR,"Please select a CSV file to import.","Selecione um arquivo CSV para importar.",0,"Selecione um arquivo CSV para importar."
import_export,error.invalid_format,,pt_BR,"Invalid format","Formato inválido",0,"Formato inválido"
import_export,error.invalid_mode,,pt_BR,"Invalid import mode.","Modo de importação inválido.",0,"Modo de importação inválido."
import_export,error.locale_required,,pt_BR,"Locale is required for export.","O idioma é obrigatório para exportação.",0,"O idioma é obrigatório para exportação."
import_export,export.title,,pt_BR,"Export CSV","Exportar CSV",0,"Exportar CSV"
import_export,field.dataset.label,,pt_BR,Dataset,"Conjunto de dados",0,"Conjunto de dados"
import_export,field.expect_locale.any,,pt_BR,"Any locale in file","Qualquer idioma no arquivo",0,"Qualquer idioma no arquivo"
